Nested Sampling Global Log-Evidence           :    0.186644305877605632E+03  +/-    0.641708698110770914E+00
Nested Importance Sampling Global Log-Evidence:    0.183093123082281636E+03  +/-    0.805221394310621889E-02

Dim No.       Mean        Sigma
   1    0.100045878395608148E+00    0.305512538299551129E-02
   2    0.300083534009825526E+01    0.181643014654950877E-01
   3   -0.900792070484385032E+00    0.843360221471593091E-02
   4   -0.802937609409685615E+00    0.173197664540848430E-01
   5   -0.200183820852265049E+01    0.131700539297879889E-01
   6   -0.420359584014346144E+01    0.211921206795885678E-01
   7    0.122748919840165414E-01    0.170749011641237423E-01
   8    0.800199157042160714E-01    0.883054545975243965E-01
   9    0.399837978758820545E+00    0.174555797379859104E-02
  10    0.270050082297887628E+00    0.112118181539005621E-02
  11    0.999983372916537583E+01    0.314088900973385973E-01
  12    0.100037657287657589E+01    0.322523712275398812E-02
  13    0.100113060995230542E-04    0.163082509968867411E-06
  14   -0.300017133461096996E+01    0.208138581384995427E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100884254322961553E+00
   2    0.300346629279421151E+01
   3   -0.903589954179501831E+00
   4   -0.792493674986966212E+00
   5   -0.200549281224507769E+01
   6   -0.420344888031299213E+01
   7   -0.182605729439444531E-02
   8    0.137930761492837561E+00
   9    0.400069694025706024E+00
  10    0.269927427716303736E+00
  11    0.100081056005135416E+02
  12    0.100212677982896547E+01
  13    0.100645926849456779E-04
  14   -0.300120318430869837E+01

MAP Parameters
Dim No.        Parameter
   1    0.100884254322961553E+00
   2    0.300346629279421151E+01
   3   -0.903589954179501831E+00
   4   -0.792493674986966212E+00
   5   -0.200549281224507769E+01
   6   -0.420344888031299213E+01
   7   -0.182605729439444531E-02
   8    0.137930761492837561E+00
   9    0.400069694025706024E+00
  10    0.269927427716303736E+00
  11    0.100081056005135416E+02
  12    0.100212677982896547E+01
  13    0.100645926849456779E-04
  14   -0.300120318430869837E+01
